# ID_SITE,ID_ENTITY,entity_name,latitude,longitude,elevation,depositional_context,measurement_method,TYPE,source,core_location,last_updated,ID_UNIT,REGION
256,313,Kabata Swamp core,0.48,30.26,1370,bog sediment,GRAVIMETRIC chemical assay (Winkler method),concentration,Global Charcoal Database Version 4,-777777,06/03/2020,144,AF
442,527,Lake Sibaya core,-27.2,32.36,20,lake sediment,Pollen slide,pollen concentration,Global Charcoal Database Version 4,-777777,06/03/2020,55,AF
443,528,Funduzi core,-22.85,30.89,429,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,22,AF
555,645,Moreletta River core 1,-28.82,30.99,417,fluvial/alluvial sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,22,AF
842,939,Kwasebuge core,-4.292015,37.92284,1939,-777777,Sieved,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,11,AF
865,963,Lake Doukoulou 2010 core,4.250897,18.42368,,-777777,Sieved,influx,Global Charcoal Database Version 4,-777777,06/03/2020,14,AF
866,964,Lake Gbali 2010 core,4.818114,18.26338,,-777777,Sieved,influx,Global Charcoal Database Version 4,-777777,06/03/2020,14,AF
868,966,Lake Nguengue 2010 core,3.767856,18.12129,385,-777777,Sieved,influx,Global Charcoal Database Version 4,-777777,06/03/2020,14,AF
869,967,Esambu core,-2.711913,37.554357,1191,-777777,Sieved,influx,Global Charcoal Database Version 4,-777777,06/03/2020,10,AF
1709,2154,ODP1078C core,-11.91,13.4,-426,marine sediment,Pollen slide,concentration,Global Charcoal Database Version 3,-888888,08/05/2021,25,AF
1773,2224,MB6,-1.08,29.75,2100,bog sediment,GRAVIMETRIC chemical assay (Winkler method),pollen concentration,Global Charcoal Database Version 4,central core,16/04/2021,164,AF
135,173,Maxus-Core 5,-0.7,-76.45,3,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,152,ARCD
319,388,Saracuri core,-1.67,-53.57,18,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,07/05/2021,152,ARCD
320,389,Santa Maria core,-1.57,-53.6,17,lake sediment,Charcoal particles identified by imaging software,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,152,ARCD
688,783,Marcacocha core,-13.21,-72.2,3355,lake sediment,Pollen slide,pollen concentration,Global Charcoal Database Version 4,-777777,06/03/2020,62,ARCD
695,790,Carajas core,-6,-50.16,250,lake sediment,Sieved,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,11,ARCD
750,847,Yaguaru core,-15.6,-63.21,195,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,43,ARCD
1261,1604,VALDECON,40.8622,-4.0597,1380,bog sediment,Pollen slide,concentration,PANGAEA,central core,07/05/2021,134,EURO
1263,1612,PRD4,42.5333,-8.5167,260,soil,Sieved,per unit weight,author,-888888,07/05/2021,141,EURO
1601,2031,Laguna Cocha Caranga core,-4.045861,-79.159583,2710,lake sediment,Pollen slide,raw count,Neotoma,central core,04/03/2021,233,ARCD
1605,2037,Lake Carana core,-2.834645,-55.041785,5,lake sediment,Sieved,concentration,Neotoma,marginal core,04/03/2021,174,ARCD
1607,2040,Lago Rogaguado core_micro,-12.997389,-65.986139,125,lake sediment,Pollen slide,influx,Neotoma,marginal core,04/03/2021,238,ARCD
1608,2042,Cerro Toledo CT core,-4.374611,-79.111528,3150,bog sediment,Pollen slide,raw count,Neotoma,-999999,04/03/2021,240,ARCD
1610,2045,Valle Pequeno core,-4.116083,-79.172056,3244,bog sediment,Pollen slide,raw count,Neotoma,central core,04/03/2021,240,ARCD
1611,2046,Laguna Rabadilla de Vaca core,-4.255472,-79.112139,3312,lake sediment,Pollen slide,influx,Neotoma,central core,04/03/2021,241,ARCD
1612,2047,Laguna Zurita core,-3.974667,-79.117611,2590,lake sediment,Pollen slide,raw count,Neotoma,central core,04/03/2021,242,ARCD
1617,2053,Lagunas Natosas Bosque core,-4.730417,-79.424064,3495,bog sediment,Pollen slide,raw count,Neotoma,central core,04/03/2021,240,ARCD
1693,2137,Laguna Chaplin core LCH,-14.466667,-61.066667,200,lake sediment,Sieved,concentration,Global Charcoal Database Version 4,marginal core,08/05/2021,72,ARCD
1694,2138,Laguna Bella Vista core,-13.6167,-61.55,191,lake sediment,Sieved,concentration,Global Charcoal Database Version 4,marginal core,08/05/2021,72,ARCD
1697,2141,Caco MA97-1,-2.970219,-43.267808,120,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 3,central core,08/05/2021,124,ARCD
1716,2161,PAC-E,-13.6072,-73.495,3095,lake sediment,Pollen slide,concentration,Pangaea,central core,26/03/2021,152,ARCD
1759,2208,El Tiro Bog core,-3.84,-79.14,2810,bog sediment,Pollen slide,pollen concentration,Global Charcoal Database Version 4,-999999,16/04/2021,90,ARCD
1851,2306,Comprida core,-1.62,-53.99,130,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,12/05/2021,75,ARCD
1860,2315,Gentry core,-12.17,-69.09,270,lake sediment,Charcoal particles identified by imaging software,concentration,Global Charcoal Database Version 4,central core,12/05/2021,1,ARCD
1861,2316,Geral core C,-1.64,-53.59,130,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,12/05/2021,75,ARCD
1868,2323,Lago Crispim core,-0.62,-47.64,2,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,12/05/2021,98,ARCD
1870,2325,Lago do Pires core,-17.95,-42.21,390,lake sediment,Pollen slide,pollen concentration,Global Charcoal Database Version 4,central core,12/05/2021,100,ARCD
1871,2326,Lagoa da Curuca Profile B charcoal concentration,-0.76,-47.85,35,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,12/05/2021,75,ARCD
1872,2327,Lagoa Nova core,-17.95,-42.2,390,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,12/05/2021,99,ARCD
1873,2328,Laguna Chorreras microcharcoal,-2.75,-79.16,3700,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,12/05/2021,91,ARCD
1874,2330,Laguna de Chochos core,-7.63,-77.47,3285,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,12/05/2021,39,ARCD
1890,2347,Lake Santa Rosa core,-14.47,-67.87,350,lake sediment,Charcoal particles identified by imaging software,concentration,Global Charcoal Database Version 4,-777777,12/05/2021,152,ARCD
1893,2350,Lake Titicaca core NE98-1PC,-16.20528,-69.20528,3810,lake sediment,Charcoal particles identified by imaging software,concentration,Global Charcoal Database Version 4,central core,12/05/2021,152,ARCD
1900,2357,Parker core,-12.14,-69.02,276,lake sediment,Charcoal particles identified by imaging software,concentration,Global Charcoal Database Version 4,central core,12/05/2021,152,ARCD
1907,2364,Rio Curua core,-1.73,-51.45,3,fluvial/alluvial sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,12/05/2021,98,ARCD
1911,2368,Surucucho core under25micron,-3.06,-78,3180,lake sediment,Pollen slide,concentration,Global Charcoal Database Version 4,central core,12/05/2021,38,ARCD
1914,2372,Vargas core,-12.37,-68.89,246,lake sediment,Charcoal particles identified by imaging software,concentration,Global Charcoal Database Version 4,central core,12/05/2021,152,ARCD
1916,2374,Werth core,-11.74,-69.23,302,lake sediment,Charcoal particles identified by imaging software,concentration,Global Charcoal Database Version 4,central core,12/05/2021,152,ARCD
1943,2408,Lake Huila micro,-0.423008,-78.018008,2608,lake sediment,Pollen slide,raw count,Neotoma,central core,26/05/2021,161,ARCD
1946,2413,CV micro,-4.149722,-79.156944,3285,bog sediment,Pollen slide,raw count,Neotoma,-999999,26/05/2021,161,ARCD
208,257,Black Swamp core,-32.05,151.4667,1450,bog sediment,Pollen slide,influx,Global Charcoal Database Version 4,central core,07/05/2021,143,AUST
209,258,Boggy Swamp core,-29.96,151.49,1160,bog sediment,Pollen slide,influx,Global Charcoal Database Version 4,central core,07/05/2021,143,AUST
210,259,Butchers Swamp core,-29.97,151.45,1230,bog sediment,Pollen slide,influx,Global Charcoal Database Version 4,central core,07/05/2021,143,AUST
213,262,Dublin Bog core,-41.72,146.23,710,bog sediment,Sieved,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,152,AUST
224,276,Tadpole Swamp core,-38.13,145.27,60,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,1,AUST
225,277,Whitehaven Swamp core,-20.3,148.9,45,lake sediment,Pollen slide,influx,Global Charcoal Database Version 4,-777777,06/03/2020,143,AUST
226,278,Buxton core,-37.44,145.69,235,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,152,AUST
230,282,Middle Patriarch Swamp core,-39.99,148.18,19,bog sediment,Pollen slide,influx,Global Charcoal Database Version 4,-777777,06/03/2020,143,AUST
231,283,North Torbreck core,-37.48,146.94,564,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,152,AUST
232,284,Oaks Creek core,-37.58,146.16,610,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,108,AUST
233,285,Poets Hill core,-41.88,145.55,600,bog sediment,Pollen slide,pollen concentration,Global Charcoal Database Version 4,-777777,06/03/2020,24,AUST
237,289,Snobs Creek core,-37.55,145.92,775,bog sediment,Pollen slide,pollen concentration,Global Charcoal Database Version 4,-777777,06/03/2020,23,AUST
241,293,Lake Mountain core,-37.46,145.87,1450,bog sediment,Pollen slide,pollen concentration,Global Charcoal Database Version 4,-777777,06/03/2020,23,AUST
247,304,Tiger Snake Swamp core,-38.13,145.27,60,bog sediment,Pollen slide,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,1,AUST
330,399,Ajax Bog core,-46.4192,169.2922,680,bog sediment,Sieved,concentration,Global Charcoal Database Version 4,-999999,07/05/2021,152,AUST
331,400,Clarks Junction core,-45.71,170.11,560,lake sediment,Sieved,concentration,Global Charcoal Database Version 4,-777777,06/03/2020,152,AUST
332,401,Eweburn Bog core,-45.32,167.8,320,bog sediment,Pollen slide,pollen concentration,Global Charcoal Database Version 4,-777777,06/03/2020,164,AUST
333,402,Glendhu Bog core,-45.8333,169.75,600,bog sediment,Sieved,pollen concentration,Global Charcoal Database Version 4,central core,07/05/2021,164,AUST
342,411,Gooches Swamp core,-33.45,150.26,960,bog sediment,Sieved,concentration,Global Charcoal Database Version 4,central core,07/05/2021,17,AUST
